('facebook', 'com')
('typo-squatting: replacement', 'dacebook')
('typo-squatting: replacement', 'f2cebook')
('typo-squatting: replacement', 'fycebook')
('typo-squatting: replacement', 'facevook')
('typo-squatting: replacement', 'fzcebook')
('typo-squatting: replacement', 'faxebook')
('typo-squatting: replacement', 'facwbook')
('typo-squatting: replacement', 'fac3book')
('typo-squatting: replacement', 'fadebook')
('typo-squatting: replacement', 'fqcebook')
('typo-squatting: replacement', 'facebopk')
('typo-squatting: replacement', 'facebokk')
('typo-squatting: replacement', 'fac4book')
('typo-squatting: replacement', 'facegook')
('typo-squatting: replacement', 'facebo9k')
('typo-squatting: replacement', 'facebpok')
('typo-squatting: replacement', 'facebooo')
('typo-squatting: replacement', 'faceboik')
('typo-squatting: replacement', 'facebool')
('typo-squatting: replacement', 'facebooj')
('typo-squatting: replacement', 'facebooi')
('typo-squatting: replacement', 'fafebook')
('typo-squatting: replacement', 'facehook')
('typo-squatting: replacement', 'faceboom')
('typo-squatting: replacement', 'facebiok')
('typo-squatting: replacement', 'cacebook')
('typo-squatting: replacement', 'faceb9ok')
('typo-squatting: replacement', 'facenook')
('typo-squatting: replacement', 'facdbook')
('typo-squatting: replacement', 'facsbook')
('typo-squatting: transposition', 'afcebook')
('typo-squatting: transposition', 'fcaebook')
('typo-squatting: transposition', 'faecbook')
('typo-squatting: transposition', 'facbeook')
('typo-squatting: transposition', 'faceobok')
('typo-squatting: transposition', 'faceboko')
('typo-squatting: subdomain', 'f.acebook')
('typo-squatting: subdomain', 'fa.cebook')
('typo-squatting: subdomain', 'fac.ebook')
('typo-squatting: subdomain', 'face.book')
('typo-squatting: subdomain', 'faceb.ook')
('typo-squatting: subdomain', 'facebo.ok')
('typo-squatting: subdomain', 'faceboo.k')
('various', 'facebookcom.com')
